ethnicity,zip1,act,legacy,n_applicants,n_admits
White,0,32,FALSE,3321,199
White,0,33,FALSE,4652,409
White,0,34,FALSE,5201,746
White,0,35,FALSE,4380,1058
White,0,36,FALSE,1600,609
White,1,32,FALSE,3236,286
White,1,33,FALSE,4455,516
White,1,34,FALSE,5023,1002
White,1,35,FALSE,4093,1198
White,1,36,FALSE,1374,555
White,2,32,FALSE,1618,77
White,2,33,FALSE,2408,159
White,2,34,FALSE,2770,285
White,2,35,FALSE,2298,461
White,2,36,FALSE,868,252
White,3,32,FALSE,1148,49
White,3,33,FALSE,1630,111
White,3,34,FALSE,1949,207
White,3,35,FALSE,1717,253
White,3,36,FALSE,708,191
White,4,32,FALSE,1022,37
White,4,33,FALSE,1400,78
White,4,34,FALSE,1521,128
White,4,35,FALSE,1364,185
White,4,36,FALSE,464,78
White,5,32,FALSE,548,22
White,5,33,FALSE,768,59
White,5,34,FALSE,821,55
White,5,35,FALSE,745,111
White,5,36,FALSE,270,64
White,6,32,FALSE,1082,52
White,6,33,FALSE,1606,100
White,6,34,FALSE,1890,193
White,6,35,FALSE,1729,258
White,6,36,FALSE,716,132
White,7,32,FALSE,692,31
White,7,33,FALSE,924,36
White,7,34,FALSE,1263,106
White,7,35,FALSE,1143,148
White,7,36,FALSE,494,105
White,8,32,FALSE,786,36
White,8,33,FALSE,1052,72
White,8,34,FALSE,1148,117
White,8,35,FALSE,995,152
White,8,36,FALSE,334,76
White,9,32,FALSE,2418,107
White,9,33,FALSE,3396,195
White,9,34,FALSE,3969,416
White,9,35,FALSE,3298,530
White,9,36,FALSE,1108,276
South Asian,0,32,FALSE,422,8
South Asian,0,33,FALSE,883,42
South Asian,0,34,FALSE,1314,106
South Asian,0,35,FALSE,1561,277
South Asian,0,36,FALSE,894,285
South Asian,1,32,FALSE,516,28
South Asian,1,33,FALSE,737,65
South Asian,1,34,FALSE,968,148
South Asian,1,35,FALSE,928,244
South Asian,1,36,FALSE,366,155
South Asian,2,32,FALSE,264,4
South Asian,2,33,FALSE,460,21
South Asian,2,34,FALSE,615,47
South Asian,2,35,FALSE,808,135
South Asian,2,36,FALSE,372,100
South Asian,3,32,FALSE,185,4
South Asian,3,33,FALSE,363,14
South Asian,3,34,FALSE,551,32
South Asian,3,35,FALSE,594,86
South Asian,3,36,FALSE,365,101
South Asian,4,32,FALSE,128,3
South Asian,4,33,FALSE,198,8
South Asian,4,34,FALSE,352,33
South Asian,4,35,FALSE,424,70
South Asian,4,36,FALSE,240,48
South Asian,5,32,FALSE,55,3
South Asian,5,33,FALSE,79,3
South Asian,5,34,FALSE,117,12
South Asian,5,35,FALSE,152,28
South Asian,5,36,FALSE,60,17
South Asian,6,32,FALSE,166,4
South Asian,6,33,FALSE,260,9
South Asian,6,34,FALSE,387,25
South Asian,6,35,FALSE,483,54
South Asian,6,36,FALSE,272,66
South Asian,7,32,FALSE,142,4
South Asian,7,33,FALSE,287,11
South Asian,7,34,FALSE,503,32
South Asian,7,35,FALSE,707,84
South Asian,7,36,FALSE,444,74
South Asian,8,32,FALSE,60,3
South Asian,8,33,FALSE,110,4
South Asian,8,34,FALSE,172,16
South Asian,8,35,FALSE,196,40
South Asian,8,36,FALSE,132,45
South Asian,9,32,FALSE,434,16
South Asian,9,33,FALSE,781,24
South Asian,9,34,FALSE,1232,61
South Asian,9,35,FALSE,1791,159
South Asian,9,36,FALSE,997,195
Southeast Asian,0,32,FALSE,189,7
Southeast Asian,0,33,FALSE,253,21
Southeast Asian,0,34,FALSE,270,37
Southeast Asian,0,35,FALSE,263,69
