race,act,legacy,n_applicants,n_admits
Asian,32,FALSE,7232,304
Asian,33,FALSE,11819,778
Asian,34,FALSE,17577,1785
Asian,35,FALSE,21773,4217
Asian,36,FALSE,12580,4036
White,32,FALSE,15871,896
White,33,FALSE,22291,1735
White,34,FALSE,25555,3255
White,35,FALSE,21762,4354
White,36,FALSE,7936,2338
Asian,32,TRUE,231,36
Asian,33,TRUE,389,87
Asian,34,TRUE,665,203
Asian,35,TRUE,839,373
Asian,36,TRUE,409,242
White,32,TRUE,1415,294
White,33,TRUE,2459,591
White,34,TRUE,3387,1225
White,35,TRUE,3480,1630
White,36,TRUE,1613,1021
